Smiles,CHEMBLID,Compound Key,Library,S_Hit
Cc1nc(CN2CCO[C@@H]3CN(Cc4nccs4)C[C@@H]3C2)cs1,CHEMBL3556919,DDD01084432,Global Health Stage V,Inactive
COCCNS(=O)(=O)c1ccc2c(c1)CCN(C(=O)c1cncn1C)C2,CHEMBL3486868,DDD01258232,Global Health Stage V,Inactive
Cc1nc(C(=O)Nc2cccnc2)c(C(C)C)s1,CHEMBL3438955,DDD01027120,Global Health Stage V,Inactive
Cc1ccsc1CNc1ccc(C(=O)N2CCNC(=O)C2)cn1,CHEMBL3464483,DDD01075489,Global Health Stage V,Inactive
CCOC(C)c1nc(Cn2cccn2)cs1,CHEMBL3464092,DDD01075096,Global Health Stage V,Inactive
CCn1c(CC2CCN(C(=O)c3cc(C(C)C)n[nH]3)CC2)n[nH]c1=O,CHEMBL3483785,DDD01255132,Global Health Stage V,Inactive
CN(C)CCSc1ccc(NC(=O)c2nccn3ccnc23)cc1,CHEMBL3457462,DDD01068403,Global Health Stage V,Inactive
CCn1ccnc1CN1CCCN(C(=O)C2(C#N)CCCCC2)CC1,CHEMBL3451563,DDD01062424,Global Health Stage V,Inactive
OCCCN1CCCC1c1ccc(Br)cc1,CHEMBL3451986,DDD01062847,Global Health Stage V,Inactive
CCc1cccc(C)c1NC(=O)c1ccccc1N(C)S(C)(=O)=O,CHEMBL3482418,DDD01253759,Global Health Stage V,Inactive
Cc1nc(CN2CC(CCCc3ccccn3)(C(=O)N(C)C)C2)co1,CHEMBL3447527,DDD01057809,Global Health Stage V,Inactive
CC(C)c1nc2c(n1C)CCN(CC(=O)Nc1ccnn1C(C)C)C2,CHEMBL3493220,DDD01300984,Global Health Stage V,Inactive
COc1c(CNC2CCCOc3ccc(F)cc32)c(C(C)C)nn1C,CHEMBL3553167,DDD01296675,Global Health Stage V,Inactive
Cc1cc(C)cc(N2CCN(C(=O)CCN3C[C@H]4CC[C@@H]3C4)CC2=O)c1,CHEMBL4556086,DDD01245796,Global Health Stage V,Inactive
Cc1nc2[nH]cnc(Nc3cc(C)n(C)n3)c-2n1,CHEMBL3445611,DDD01037995,Global Health Stage V,Inactive
CC1c2ncc(Cn3cncn3)n2CCN1C(=O)c1cscn1,CHEMBL3442289,DDD01032654,Global Health Stage V,Inactive
Cc1nc(C(=O)N2CCCC2c2noc(C)n2)c[nH]1,CHEMBL3491619,DDD01299374,Global Health Stage V,Inactive
O=C(c1ccccc1)N1CCCn2c(CN3CCCCC3)nnc2C1,CHEMBL3555535,DDD01083974,Global Health Stage V,Inactive
CC(C#N)CSc1ccccc1NCC(=O)NC1CCCCC1,CHEMBL3460001,DDD01070970,Global Health Stage V,Inactive
CCn1nc2c(cc1=O)CN(CC(=O)N(C)c1nccs1)CC2,CHEMBL3466180,DDD01077229,Global Health Stage V,Inactive
Cc1cnn(CC2CCCN2C(=O)CCc2ccc3c(c2)OCO3)c1,CHEMBL3493402,DDD01301167,Global Health Stage V,Inactive
CCc1nc(CN(C)c2nccc(N3CCCC(O)C3)n2)no1,CHEMBL3476523,DDD01247831,Global Health Stage V,Inactive
Cc1cc(-c2cnc(NC3CCCCC3)nc2-c2ccco2)on1,CHEMBL3449568,DDD01060186,Global Health Stage V,Inactive
COc1ccccc1N1CCC(CNS(=O)(=O)c2c(C)nn(C)c2C)C1,CHEMBL3466148,DDD01077196,Global Health Stage V,Inactive
CC(C)CC(=O)N1CC[C@H]2N(C)CC[C@@]2(C(=O)Nc2cccnc2)CC1,CHEMBL3556473,DDD01082009,Global Health Stage V,Inactive
CCOc1cc(CNC(=O)CNC(=O)CC2CCCCC2)ccn1,CHEMBL3455755,DDD01066673,Global Health Stage V,Inactive
CCC(=O)N1CCC(O)(c2ncc(OC)nc2OC)CC1,CHEMBL3487339,DDD01270254,Global Health Stage V,Inactive
CN(Cc1ccco1)C(=O)c1cccc(N2CCCC2=O)c1,CHEMBL3490527,DDD01298280,Global Health Stage V,Inactive
Cc1ccc(N2CCCC(NCc3ccc4c(c3)CCO4)C2)nn1,CHEMBL3492640,DDD01300397,Global Health Stage V,Inactive
CC(NC(=O)NCCCn1cncn1)c1ccccc1F,CHEMBL3491349,DDD01299103,Global Health Stage V,Inactive
CN1CSC[C@H]1C(=O)N1CCN(Cc2cccc(F)c2)CC1,CHEMBL3474022,DDD01245321,Global Health Stage V,Inactive
NC(=O)c1cccc(C(=O)N2CCCC(n3ccnc3)C2)c1,CHEMBL3489213,DDD01296955,Global Health Stage V,Inactive
O=C(CCc1ccncc1)NCCOc1ncc(Cl)cc1Cl,CHEMBL3461458,DDD01072437,Global Health Stage V,Inactive
O=C(CCN1CCCC1=O)Nc1cnn(-c2ccccc2Cl)c1,CHEMBL3488967,DDD01296709,Global Health Stage V,Inactive
Cn1cc(-c2nc3c(cc2C(=O)O)CCN(C(=O)C2CC2)CC3)cn1,CHEMBL3557902,DDD01029835,Global Health Stage V,Inactive
CCCNC(=O)N1CCC(c2nnc(Cn3cccn3)n2C2CC2)CC1,CHEMBL3478222,DDD01249539,Global Health Stage V,Inactive
CN(Cc1cc(-c2cccnc2)no1)C(=O)C1CCCN1S(C)(=O)=O,CHEMBL3475214,DDD01246519,Global Health Stage V,Inactive
CCCn1nc(-c2nc(C3CC3)no2)ccc1=O,CHEMBL3468311,DDD01079387,Global Health Stage V,Inactive
CNc1cccc(C2CCCN(C(=O)c3cnccn3)C2)n1,CHEMBL3449830,DDD01060498,Global Health Stage V,Inactive
Cc1cccc(-c2noc(CN3CCC(c4ccn[nH]4)CC3)n2)c1,CHEMBL3459432,DDD01070397,Global Health Stage V,Inactive
CC(Cn1cccn1)NC(=O)Nc1nncs1,CHEMBL3487860,DDD01295586,Global Health Stage V,Inactive
Cc1ccc(CNCC2CCc3nnc(C(C)C)n3C2)s1,CHEMBL3470040,DDD01081139,Global Health Stage V,Inactive
Cc1ccc(C(=O)N2CCC3(CC2)CC(NC(=O)C(C)C)CO3)cc1,CHEMBL3440537,DDD01028876,Global Health Stage V,Inactive
NC(=O)c1cc2c(nc1-c1ccc3c(c1)OCCO3)CCC2,CHEMBL3476133,DDD01247438,Global Health Stage V,Inactive
COc1cc(N2CC3(CCN(S(=O)(=O)C4CC4)C3)C2)ncn1,CHEMBL3441249,DDD01030411,Global Health Stage V,Inactive
c1cc(CN(CCCn2ccnc2)Cc2ccoc2)ccn1,CHEMBL3472792,DDD01244085,Global Health Stage V,Inactive
O=C1CCCN1Cc1nnc2n1CCN(Cc1ccco1)C2,CHEMBL3470400,DDD01081820,Global Health Stage V,Inactive
Cc1ccccc1C(=O)N1C[C@@H]2CCN(c3cccnc3)C[C@@H]2C1,CHEMBL3554243,DDD01083500,Global Health Stage V,Inactive
O=C(c1cnn2c(-c3ccco3)ccnc12)N1CCCCCC1,CHEMBL3445998,DDD01038383,Global Health Stage V,Inactive
COc1cc(N2CC[C@@H](O)[C@@H]2Cc2ccncc2)ncn1,CHEMBL3553407,DDD01084171,Global Health Stage V,Inactive
COc1ccccc1[C@@H]1CN(Cc2ccc3nsnc3c2)C[C@H]1C(=O)O,CHEMBL3480247,DDD01251579,Global Health Stage V,Inactive
Cc1cnc(CCN(C)C(=O)c2ccc(O)nc2C)s1,CHEMBL3465699,DDD01076736,Global Health Stage V,Inactive
CC(=O)NC1CCCN(Cc2ccc(-n3ccnc3)cc2)C1,CHEMBL3467509,DDD01078582,Global Health Stage V,Inactive
O=C1CC(c2ccccc2F)c2c(n(C3CCCC3)[nH]c2=O)N1,CHEMBL3484950,DDD01256307,Global Health Stage V,Inactive
NC(=O)C1CCCN(c2ccc(CNC(=O)c3cnsn3)cc2)C1,CHEMBL3491744,DDD01299499,Global Health Stage V,Inactive
CC1(C)CN(C(=O)Nc2ccc(Cn3cccn3)cc2)CCO1,CHEMBL3463282,DDD01074274,Global Health Stage V,Inactive
O=C(c1sccc1C1CC1)N1CCN(c2ncccn2)CC1,CHEMBL3457935,DDD01068881,Global Health Stage V,Inactive
N#Cc1cccnc1NCc1cccnc1N1CCCCC1,CHEMBL3454473,DDD01065377,Global Health Stage V,Inactive
Cc1ccncc1NC(=O)C1CSc2ncc(C)c(=O)n2C1,CHEMBL3440185,DDD01028434,Global Health Stage V,Inactive
OC[C@@H]1CCCN1c1ccc(-c2nc(CCc3ccccc3)no2)cn1,CHEMBL3473440,DDD01244736,Global Health Stage V,Inactive
COCC(C)Nc1ccc(-c2nc(Cc3ccc(F)cc3)no2)cn1,CHEMBL3480346,DDD01251678,Global Health Stage V,Inactive
CC(Cn1ccnc1)NC(=O)N1CCN(Cc2cccs2)CC1,CHEMBL3492791,DDD01300552,Global Health Stage V,Inactive
Cc1ccc(C2CN(C(=O)NCc3nnc4ccccn34)CCO2)o1,CHEMBL3455534,DDD01066449,Global Health Stage V,Inactive
CN(Cc1n[nH]c2c1CCCC2)c1nc(C2CC2)nc2c1CCNCC2,CHEMBL3481064,DDD01252399,Global Health Stage V,Inactive
CCOCc1cccc(NCc2c[nH]nc2-c2cccnc2)c1,CHEMBL3456613,DDD01067547,Global Health Stage V,Inactive
NC(=O)c1cccc2nc([C@H]3CCN(Cc4ccccn4)C3)[nH]c12,CHEMBL3437375,DDD01025389,Global Health Stage V,Active
CN(C)S(=O)(=O)N1C[C@@H]2C[C@H](C(=O)Nc3cccnc3)[C@H](C1)O2,CHEMBL4592582,DDD01083201,Global Health Stage V,Inactive
Cc1ncsc1CN1Cc2cn(C)nc2C(COCC2CC2)C1,CHEMBL3554837,DDD01083255,Global Health Stage V,Inactive
CC(CCc1ncnn1Cc1cccc(Cl)c1)N1CCCC1,CHEMBL3476898,DDD01248210,Global Health Stage V,Inactive
CC(C)=CCCC1(C)C=Cc2c(cc(C)n(CCC(=O)O)c2=O)O1,CHEMBL3447633,DDD01057930,Global Health Stage V,Inactive
N#CC1CCCN(S(=O)(=O)c2ccc(C(=O)NCC(F)F)cc2)C1,CHEMBL3477976,DDD01249292,Global Health Stage V,Inactive
CCc1c(C)[nH]c2cc(C3CCN(Cc4ccc(F)cc4)C3)nn2c1=O,CHEMBL4525276,DDD01060568,Global Health Stage V,Inactive
COc1ccccc1CN1C[C@@H]2COC[C@]2(COCc2ccncc2)C1,CHEMBL3556099,DDD01084128,Global Health Stage V,Inactive
CN(CCc1cccs1)C1CCCN(Cc2noc(C3CC3)n2)C1,CHEMBL3469966,DDD01081062,Global Health Stage V,Inactive
CC(C)NC(=O)c1cc2c([nH]c1=O)CC(c1cccs1)CC2=O,CHEMBL3443315,DDD01034911,Global Health Stage V,Inactive
CN1CCN(c2nsc(-c3cccnc3)c2C#N)CC1,CHEMBL3445617,DDD01038001,Global Health Stage V,Inactive
CC1c2ncc(Cn3cncn3)n2CCN1C(=O)N(C)C,CHEMBL3442304,DDD01032684,Global Health Stage V,Inactive
Clc1ccc(C2(CNC3=NCCN3)CCCC2)cc1,CHEMBL3548768,DDD01067443,Global Health Stage V,Inactive
Cc1ccc(NC(=O)CNC(C)Cc2ccsc2)cc1F,CHEMBL3485796,DDD01257154,Global Health Stage V,Inactive
CC(C)n1cc(CN2CCCN(C(=O)c3ccc[nH]3)CC2)cn1,CHEMBL3470149,DDD01081248,Global Health Stage V,Inactive
CCC[C@H]1CN(S(=O)(=O)c2ccc(CC)s2)C[C@@H]1N,CHEMBL3474980,DDD01246282,Global Health Stage V,Inactive
CCc1c(C)[nH]c(C(C)(C)N)nc1=O,CHEMBL3554432,DDD01075993,Global Health Stage V,Inactive
O=C(CCn1ccnc1)N1CCCC(n2cncn2)C1,CHEMBL3456056,DDD01066979,Global Health Stage V,Inactive
Cc1cc(NC(=O)Nc2ccc3c(ccn3CCN(C)C)c2)n(C)n1,CHEMBL3463889,DDD01074889,Global Health Stage V,Inactive
Cc1noc(CNC(=O)C2CSCCC(=O)N2)n1,CHEMBL3440042,DDD01028291,Global Health Stage V,Inactive
CC(C)c1nsc(N2CCCOCC2)n1,CHEMBL3465529,DDD01076566,Global Health Stage V,Inactive
CN(Cc1ccccc1)C(=O)c1cc2c(c(S(N)(=O)=O)c1)CCC2,CHEMBL3451304,DDD01062164,Global Health Stage V,Inactive
CN1CCCN(c2nccc(-c3cncnc3C3CCCCC3)n2)CC1,CHEMBL3472124,DDD01235936,Global Health Stage V,Inactive
Cc1cc(-n2nnc(C(=O)O)c2-c2ccncc2)ccc1F,CHEMBL3443161,DDD01034732,Global Health Stage V,Inactive
Cc1cc(C(=O)N2CC[C@]3(C[C@@H](OCc4ccccn4)CO3)C2)c(C)o1,CHEMBL3551670,DDD01083109,Global Health Stage V,Inactive
CC(C)OCCCNC(=O)CN(c1ccc(F)c(F)c1)S(C)(=O)=O,CHEMBL3443800,DDD01035431,Global Health Stage V,Inactive
NCCN1CCC(c2nnc(Cn3ccnc3)n2C2CC2)CC1,CHEMBL3482822,DDD01254168,Global Health Stage V,Inactive
CCc1ccc(C(=O)N2CCCn3nnc(Cn4cccn4)c3C2)cc1,CHEMBL3441957,DDD01031911,Global Health Stage V,Inactive
CC(=O)N1CCO[C@@H]2CN(S(=O)(=O)C3CC3)C[C@@H]2C1,CHEMBL3470668,DDD01082447,Global Health Stage V,Inactive
O=C(NCc1cnc2n1CCN(CC1CCOCC1)C2)c1ccno1,CHEMBL3553370,DDD01082555,Global Health Stage V,Inactive
CCCS(=O)(=O)N1CCN(c2ccnc(N3CCCCC3)n2)CC1,CHEMBL3485004,DDD01256361,Global Health Stage V,Inactive
CC(NC(=O)c1cccc[n+]1[O-])c1ccc2c(c1)CCC(=O)N2,CHEMBL3461753,DDD01072735,Global Health Stage V,Inactive
O=C(C1CCCC1)N1CCC(Nc2ccncn2)CC1,CHEMBL3478905,DDD01250226,Global Health Stage V,Inactive
Cc1cccc(CN2C[C@@H]3COC[C@]3(CNC(=O)c3ccno3)C2)n1,CHEMBL3556129,DDD01084574,Global Health Stage V,Inactive
Cc1cc(C)n(CC(C)NC2CCN(Cc3cccnc3)CC2)n1,CHEMBL3482515,DDD01253856,Global Health Stage V,Inactive
CC(C)n1ccnc1C1CCN(C(=O)C2COc3ccccc3O2)CC1,CHEMBL3486190,DDD01257549,Global Health Stage V,Inactive
CC(C)NC(=O)N1CC[C@@H]2[C@@H]1CC(=O)N2Cc1cccnc1,CHEMBL3440761,DDD01029367,Global Health Stage V,Inactive
CCOc1ccnc(N2CCN(C(=O)c3c(CC)noc3C)CC2)n1,CHEMBL3490752,DDD01298505,Global Health Stage V,Inactive
Cc1ccc(CN2CCCC3(CCCC(=O)N3C)C2)s1,CHEMBL3553801,DDD01082587,Global Health Stage V,Inactive
COc1ccccc1[C@@H]1CN(CC2CCC2)C[C@H]1C(=O)O,CHEMBL3477489,DDD01248801,Global Health Stage V,Inactive
O=C(CN1CCOC(Cn2cccn2)C1)NCc1ccccn1,CHEMBL3491789,DDD01299544,Global Health Stage V,Inactive
N#Cc1csc(CNCCOc2ccccc2)c1,CHEMBL3456532,DDD01067465,Global Health Stage V,Inactive
Cc1ccsc1CN1CC[C@H]2O[C@H](C(=O)N3CCCO3)CC[C@H]21,CHEMBL3442625,DDD01033500,Global Health Stage V,Inactive
CC[C@H]1CN(C(=O)c2cnc(CN3CCCC3)s2)CC[C@@]1(C)O,CHEMBL3485314,DDD01256671,Global Health Stage V,Inactive
O=C(Cc1cccc(F)c1)NCCCNC(=O)c1cccc(O)c1,CHEMBL3487524,DDD01295250,Global Health Stage V,Inactive
Cc1cc2cc(Nc3c(C#N)c(=O)n(C)c(=O)n3C)ccc2[nH]1,CHEMBL3436615,DDD00362477,Global Health Stage V,Inactive
O=C(c1cnccn1)N1CCn2cnc(COCC3CC3)c2C1,CHEMBL3443009,DDD01034455,Global Health Stage V,Inactive
CC(CNS(N)(=O)=O)Oc1ccc(Cl)cc1,CHEMBL3453746,DDD01064633,Global Health Stage V,Inactive
Cc1cc(N(C)CCn2ccnc2C)n2nccc2n1,CHEMBL3484047,DDD01255395,Global Health Stage V,Inactive
Cc1noc(C)c1C(C)NC(=O)N1CCN(c2cccs2)CC1,CHEMBL3455299,DDD01066212,Global Health Stage V,Inactive
Cc1cc(O)n(-c2ccccc2Cl)c(=O)c1C#N,CHEMBL3443903,DDD01035557,Global Health Stage V,Inactive
Cc1ccc(NC2CCN(C(=O)CCCn3ccnc3C)CC2)nn1,CHEMBL3492328,DDD01300084,Global Health Stage V,Inactive
COC(=O)[C@H](C)NC(=O)CSCc1nc2sc(C(C)C)cc2c(=O)[nH]1,CHEMBL3438807,DDD01026968,Global Health Stage V,Inactive
Cc1ccc(SCC(=O)NS(=O)(=O)c2ccc3c(c2)OCCO3)cc1,CHEMBL3495372,DDD01303154,Global Health Stage V,Inactive
Cc1nn2c(-c3cnn(C)c3)nnc2s1,CHEMBL3438979,DDD01027144,Global Health Stage V,Inactive
Cn1cc(C(=O)N2CCN(c3ccc(F)cc3)CC2)ccc1=O,CHEMBL3451178,DDD01062037,Global Health Stage V,Inactive
Nc1nccnc1C(=O)N1CCN(CCOc2ccccc2)CC1,CHEMBL3466550,DDD01077607,Global Health Stage V,Inactive
CCc1nc(N2CCCN(c3ncccn3)CC2)c2cnn(C)c2n1,CHEMBL3481875,DDD01253214,Global Health Stage V,Inactive
O=C(Cc1ccc2c(c1)OCO2)N1CCN(c2ccccc2Cl)C(=O)C1,CHEMBL3476076,DDD01247381,Global Health Stage V,Inactive
Cc1ccc(C(C)NC(=O)Nc2ccccc2CN2CCOCC2)o1,CHEMBL3469222,DDD01080313,Global Health Stage V,Inactive
Cc1cc(C)n(CC2CN(CC(=O)NCc3cccs3)CCO2)n1,CHEMBL3488692,DDD01296425,Global Health Stage V,Inactive
CCNC(=O)NC(=O)CNC(C)(CC)c1nccs1,CHEMBL3458320,DDD01069271,Global Health Stage V,Inactive
CC(=O)N1CCCC2(CCN(Cc3ccc(Cl)c(C(F)(F)F)c3)C2)C1,CHEMBL3441600,DDD01031193,Global Health Stage V,Inactive
Cc1cc(S(=O)(=O)N2CCC(N3CCC(O)C3)CC2)c(Cl)cc1Cl,CHEMBL3440408,DDD01028657,Global Health Stage V,Inactive
Cc1cc(C)n(CCN2CCN(C(=O)c3ccccc3Br)CC2)n1,CHEMBL3439688,DDD01027914,Global Health Stage V,Inactive
Cc1nc(N2CCC3(CCOC3)C2)c2cc[nH]c2n1,CHEMBL3458403,DDD01069354,Global Health Stage V,Inactive
Cc1cnn(C2CN(CC(=O)N(C)Cc3ccc(C)o3)C2)c1,CHEMBL3464369,DDD01075373,Global Health Stage V,Inactive
Cc1nc(C)n(CC2CCCCN2Cc2nc3ccccc3o2)n1,CHEMBL3487607,DDD01295333,Global Health Stage V,Inactive
CC(=O)N1CCCC2(C1)CN(c1nncs1)CCO2,CHEMBL3557624,DDD01081509,Global Health Stage V,Inactive
COCC(=O)Nc1[nH]nc2c1c(C)nn2Cc1cccc(OC)c1,CHEMBL4566845,DDD01063147,Global Health Stage V,Inactive
Cn1cc(C(=O)N2CC[C@@]3(O)CCN(C4CCCCC4)C[C@H]3C2)cn1,CHEMBL3478231,DDD01249548,Global Health Stage V,Inactive
Cc1cncnc1C1CCN(C(=O)CN(C)C)CC1,CHEMBL3448436,DDD01058880,Global Health Stage V,Inactive
CCOC(=O)Cn1c(=O)[nH]c2cn(-c3ccccc3)c(=O)n21,CHEMBL4565436,DDD01035474,Global Health Stage V,Inactive
CC(=O)N(C)CC(=O)Nc1cc(C(F)(F)F)c[nH]c1=O,CHEMBL3451168,DDD01062027,Global Health Stage V,Inactive
CC(=O)NCCNC(=O)CN1CCCCC1Cn1cncn1,CHEMBL3490774,DDD01298527,Global Health Stage V,Inactive
c1ccc(COC[C@@H]2CC[C@H]3[C@H](CCN3c3ncccn3)O2)nc1,CHEMBL3471322,DDD01083923,Global Health Stage V,Inactive
O=C(c1nc2c(o1)CN(CC1CC1)C2)N1CCCC1,CHEMBL3553220,DDD01030276,Global Health Stage V,Inactive
CCCS(=O)(=O)CC(=O)N1CCCC1c1noc(C2CC2)n1,CHEMBL3459011,DDD01069970,Global Health Stage V,Inactive
Cc1nc(C(=O)N(C)[C@@H]2CCC[C@@H](Oc3ccccc3)[C@@H]2O)co1,CHEMBL3449136,DDD01059708,Global Health Stage V,Inactive
CCCc1nnc(NC(=O)N2CCCC2c2ccncc2)s1,CHEMBL3462328,DDD01073314,Global Health Stage V,Inactive
CCN(Cc1c(C)nn(CC)c1C)S(=O)(=O)c1cnn(C)c1C,CHEMBL3446016,DDD01038402,Global Health Stage V,Inactive
COC1CCN(c2ccc(NC(=O)C3CC3)cc2C(F)(F)F)CC1,CHEMBL3450925,DDD01061774,Global Health Stage V,Inactive
CC(C)NC(=O)N1CCc2onc(C(=O)NCCN(C)C)c2C1,CHEMBL3554510,DDD01030988,Global Health Stage V,Inactive
Cn1nc(C2CCN(C(=O)Cc3cccc(F)c3)CC2)c2cccnc21,CHEMBL3551884,DDD01270112,Global Health Stage V,Inactive
CC(C)[C@H]1CN(Cc2ccccc2C#N)C[C@@H]1NC(=O)C1CCOCC1,CHEMBL3484206,DDD01255554,Global Health Stage V,Inactive
CNC(=O)c1cccc(CNC2CCCSc3ccccc32)c1,CHEMBL3451993,DDD01062854,Global Health Stage V,Inactive
Cc1cnn(CC2CCCN2C(=O)Cc2c(C)noc2Cl)c1,CHEMBL3460892,DDD01071867,Global Health Stage V,Inactive
CC(C)CN1CCC(c2nc3ccc(NC(C)C)cn3n2)CC1,CHEMBL3553494,DDD01034264,Global Health Stage V,Inactive
Cc1nc(CN2CCC3(CCCN(Cc4cnn(C)c4)C3)C2=O)cs1,CHEMBL3551815,DDD01036447,Global Health Stage V,Inactive
COCCO[C@H]1CCN(c2cc(OC)ncn2)[C@H]1Cc1cnn(C)c1,CHEMBL3441562,DDD01031110,Global Health Stage V,Inactive
